topic,content
整流,"整流是指不同种类物品分别按照漏斗速度实现并行输入，每类物品输入速度上限为漏斗速，不同种类物品之间可以并行输入，整流器就是实现这个过程的一个处理系统。英文对应 rectification，在中文TMC社群中指按类型并行的通用概念（每类型1x），而parallel unloading是一种具体实现方法。"
车头,"车头并不单指盒子类机器，它可以是任何机器。车头是指机器中物品输入部分的总称，它的作用是对输入的物品进行预处理使其能够适配后续处理流程，例如盒分类单片需要把key和取了key的盒子异步发往单片，则车头要做的就是取key等等。车头还包括堆分类车头、矿车类车头等，是一个广义的概念。车头不仅包括物品处理部分，很多时候也包括输入部分的主控线路。"
实体分盒器,"实体分盒器是一种特殊的自适应打包机，它是输入实体掉落物输出纯净盒，而不是传统分盒。"
不可堆叠打包,"不可堆叠打包接在不可堆叠分类的输出端，一般常用可访问打包和缓存打包这两种，因为这两种打包兼顾了打包和取散货的需求，用于替换大宗流程的打包机+盒分类+箱盒展示。不可堆叠打包一般是1wt的，这两种打包理论上不可能满速，所以需要对不可堆叠分类输入进行限速否则有溢出的风险。不可堆叠分类本身不会带有任何打包，需要额外添加。"
大宗,"Bulk=Bulk Storage，即大宗存储。全物品=Main Storage，并非主存储。"
漏斗机制,"漏斗在TE阶段先后执行5个主要操作：1.若CD时长非0则CD-1，若减后CD仍不为0则跳过后续。2.若漏斗物品栏不为空且输出端有可接受漏斗输入的容器则尝试输出1个物品。3.若漏斗上方有可接受漏斗输出的容器则尝试吸取1个物品。4.若漏斗上方无可接受漏斗输出的容器（1.21+还需上方方块无DOES_NOT_BLOCK_HOPPERS标签）。5.若2/3/4中至少成功1次则增加CD时长，一般加8gt，特殊情况下加7gt以保证时序一致。"
漏斗哈希,"漏斗哈希是一个抽象知识点。假设区块C中先后放下漏斗H1和H2（未卸载区块），则在区块C被卸载前每gt的TE阶段先执行H1再执行H2。当区块C重载后H1和H2的运算顺序由哈希算法（伪随机）确定，该顺序在区块卸载前保持不变直到下一次重载。"
crain解码器,"crain解码器通过红石粉与0/1侦测器的时差进行解码。如果码正确会有1gt窗口延迟熄灭底下铁轨被侦测器检测。码错误则铁轨常亮不被检测。dreams解码器是用了bud投掷器的crain魔改。floppy解码器是另一种独立方案。"
BED,"BED（方块事件延迟）并非是gt级的解码，而是在一个gt内不同的更新顺序的差异。BED绝对不是被用于crain/dreams/floppy或者其他16进制解码。"
编码全物品类型,"编码全物品的类型指处理流程和实现方式的区别而非编码元件。常见的有：传统二进制线编码全物品（多条水道一个线程）、矩阵编码全物品（传统编码拓展，每条水道一个线程）、高速编码流水线全物品（物品流与编码信号同步）、并行编码全物品（消除线程抑制，不同种类物品可同时段输入）。"
打包机速度,"打包机的速度是固定的，自适应除非是堆分，不然永远是单倍速，无法通过任何手段提升速度。更高倍速的理论上适应6倍速需求但无法手动降速。打包机的速度是定死的。"
